,OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
325,326,MD/HD-200 - MD/HD-200,2,2,1,,0.0,,0.0,,,,0.0,0.0
347,348,MD/HD-200 - MD-50,2,31,23,,46.16654388153256,,82.52280152718154,,,,56.58508974724785,0.73506548524134
348,349,MD/HD-200 - MD-250,2,11,24,,51.217243113181674,,83.82349250578153,,,,61.62995681193901,0.774568023603357
350,351,MD/HD-200 - MD-150,2,10,26,,58.94073887191578,,97.06656701840112,,,,69.51115610686804,0.789903204459457
382,383,MD/HD-200 - MD/HD-00,2,26,58,,117.0995358815026,,155.16056885748233,,,,128.91960523399487,1.274878880837742
384,385,MD/HD-200 - MD/HD-00,2,21,60,,114.968105810741,,158.63036343259597,,,,126.61333341782552,1.301549352871461
385,386,MD/HD-200 - MD/HD-00,2,29,61,,108.10506651806848,,158.6716475661359,,,,121.82770087925408,1.306986447405049
387,388,MD/HD-200 - MD/HD-100,2,32,63,,92.64143057730632,,163.8995931623016,,,,113.78454887120736,1.437784958848606
388,389,MD/HD-200 - Location 173,2,216,64,,88.58554375699345,,164.4614736350966,,,,112.4424867853668,1.607186256163094
391,392,MD/HD-200 - MD/HD-300,2,3,67,,89.90937316759302,,166.80159703980272,,,,114.07972815637208,1.582708711063904
400,401,MD/HD-200 - IMD/HD-00,2,30,76,,135.7665746943692,,173.5163736119362,,,,147.50758130459215,1.403746872207421
405,406,MD/HD-200 - MD/HD-100,2,9,81,,142.1583249312444,,183.8087460953872,,,,154.79138700794644,1.595867232482473
425,426,MD/HD-200 - MD-50,2,28,101,,146.4677684589359,,212.8591384768551,,,,162.373628918815,1.791119947818966
441,442,MD/HD-200 - MD-50,2,23,117,,158.34861717546403,,226.373675867659,,,,174.12874772895572,1.889027250392204
443,444,MD/HD-200 - MD-150,2,33,119,,130.23634278200348,,234.69470094215995,,,,160.34106045696376,2.107442081507886
445,446,MD/HD-200 - MD-50,2,27,121,,165.43763869791977,,236.67283132612025,,,,182.27335759295565,1.980059011814717
451,452,MD/HD-200 - MD-350,2,12,127,,137.56866304138148,,254.346905121978,,,,174.30338571196,2.378267992998556
458,459,MD/HD-200 - MD-50,2,8,134,,196.21117723342732,,268.89703763386365,,,,215.24023686334675,2.34740691526209
476,477,MD/HD-200 - MD/HD-100,2,22,152,,208.4461003999302,,301.11840762747374,,,,231.46600469765588,2.61845202213273
483,484,MD/HD-200 - MD/HD-200,2,34,159,,180.67114943876751,,316.1277418355546,,,,219.72775142794325,2.873219743548375
488,489,MD/HD-200 - MD/HD-00,2,17,164,,240.13056910080863,,324.7650272842757,,,,261.24683133666787,2.831190686163643
495,496,MD/HD-200 - MD/HD-400,2,4,171,,184.3520473565536,,339.8751955182502,,,,233.03456154526108,3.138885880296651
522,523,MD/HD-200 - MD-150,2,24,198,,247.64448164376324,,384.9315772947165,,,,282.22675475129046,3.469784566899466
526,527,MD/HD-200 - MD-50,2,18,202,,276.74131368837214,,389.5571748408429,,,,304.500769411595,3.300389597537056
533,534,MD/HD-200 - MD-250,2,35,209,,225.38754649608924,,399.25833323222366,,,,272.6228562202083,3.656422620281434
535,536,MD/HD-200 - MD-450,2,13,211,,220.8444632998906,,401.8033224964319,,,,277.0077721064476,3.735097001811429
555,556,MD/HD-200 - MD/HD-00,2,41,231,,270.9452915010944,,468.5640186750026,,,,329.43496909775047,4.41369714731765
557,558,MD/HD-200 - MD/HD-100,2,19,233,,323.87141005934484,,478.14091331003607,,,,369.6840578774545,3.829981670944826
565,566,MD/HD-200 - MD-50,2,42,241,,284.15909854584254,,492.4779793080274,,,,345.12558562751224,4.564933951693098
567,568,MD/HD-200 - MD/HD-200,2,25,243,,306.4781399042493,,496.20901413118986,,,,357.18821393984086,4.259164783159875
569,570,MD/HD-200 - MD/HD-500,2,5,245,,274.91290306006414,,498.9641086657536,,,,341.1150479476788,4.548165979029629
570,571,MD/HD-200 - MD/HD-100,2,43,246,,277.7411542380823,,501.0582939842564,,,,344.08862426668605,4.524263256356996
577,578,MD/HD-200 - MD/HD-200,2,36,253,,297.3759886421533,,515.9819660698897,,,,354.2863416478653,4.448002162433678
579,580,MD/HD-200 - MD-150,2,20,255,,335.94385380931857,,533.1688074919883,,,,384.0332275245849,4.576638836765356
588,589,MD/HD-200 - MD-350,2,39,264,,326.6414473406136,,577.076117144098,,,,398.7565919695664,5.192011814251825
589,590,MD/HD-200 - MD-250,2,37,265,,334.18559331403344,,580.0545743594329,,,,397.3932353408642,4.62698333953553
590,591,MD/HD-200 - MD-550,2,14,266,,319.4884549068565,,580.5536135420816,,,,396.64476337862817,5.287864111305768
600,601,MD/HD-200 - MD/HD-400,2,40,276,,365.04923259536326,,635.5465039907597,,,,441.45688218998913,5.66778178032217
605,606,MD/HD-200 - MD/HD-300,2,38,281,,374.92333719210944,,648.733720155212,,,,444.39219342251937,4.540662559789587
607,608,MD/HD-200 - MD/HD-600,2,6,283,,363.4395542246112,,661.4666929222535,,,,451.78623756319246,5.894444601314997
623,624,MD/HD-200 - MD-650,2,15,299,,426.10856485688817,,735.2328362690821,,,,509.9465416223271,6.542319610071798
635,636,MD/HD-200 - MD/HD-700,2,16,311,,484.52713403661227,,833.970032768468,,,,577.1333720918337,7.171313096443589
643,644,MD/HD-200 - MD-750,2,7,319,,519.2901190858773,,895.9625297951518,,,,619.0104048256126,7.71296610838835
650,651,MD/HD-300 - MD/HD-300,3,3,1,,0.0,,0.0,,,,0.0,0.0
652,653,MD/HD-300 - Location 173,3,216,3,,18.43346987826512,,31.740255381666582,,,,22.70970375550411,0.025281987248561
660,661,MD/HD-300 - MD-250,3,11,11,,49.04223136408051,,83.92562295868235,,,,60.78678924819569,0.808660582029041
667,668,MD/HD-300 - MD/HD-100,3,32,18,,60.28708494518639,,92.24653721059312,,,,66.50736931427888,0.729534171013355
689,690,MD/HD-300 - MD-50,3,31,40,,66.40935058436303,,108.29788624506492,,,,75.90018406521236,0.957117659499002
697,698,MD/HD-300 - MD-150,3,33,48,,76.40442391915134,,118.47134320225511,,,,82.8647464877205,0.787320232519383
699,700,MD/HD-300 - MD-350,3,12,50,,67.41658916265315,,121.62568686854794,,,,84.5706026820973,0.79624258997194
716,717,MD/HD-300 - MD/HD-200,3,2,67,,91.1943089274868,,167.85589242679248,,,,115.36004775974592,1.582708711063904
726,727,MD/HD-300 - MD/HD-200,3,34,77,,126.83923057591504,,199.90438409564985,,,,142.25143745870022,1.360895352294407
728,729,MD/HD-300 - MD/HD-400,3,4,79,,114.19997347782544,,207.15397726482007,,,,143.30177851539847,1.560191784282714
749,750,MD/HD-300 - MD-150,3,10,100,,141.56202192796724,,252.92762502406683,,,,175.0199955042206,2.361910075188709
756,757,MD/HD-300 - MD-450,3,13,107,,150.69238942116235,,269.0821042430016,,,,187.2749890765852,2.175296005293716
757,758,MD/HD-300 - MD-250,3,35,108,,151.51547085479567,,269.34766450627245,,,,187.72266743574093,2.098239043299961
784,785,MD/HD-300 - MD/HD-00,3,26,135,,199.72081893755407,,311.02162686314773,,,,234.42844463134756,2.856735571241157
785,786,MD/HD-300 - MD/HD-00,3,21,136,,197.58938886679215,,314.4914214382619,,,,232.12217281517803,2.884257971873664
786,787,MD/HD-300 - MD/HD-00,3,29,137,,190.7263495741201,,314.53270557180207,,,,227.33654027660705,2.88784414248698
797,798,MD/HD-300 - IMD/HD-00,3,30,148,,218.38785775042112,,329.3774316176026,,,,253.01642070194487,2.961512174970475
801,802,MD/HD-300 - MD/HD-00,3,41,152,,200.79321762236577,,335.84280042157246,,,,239.7021860678884,2.835582939226962
802,803,MD/HD-300 - MD/HD-100,3,9,153,,224.7796079872958,,339.6698041010524,,,,260.3002264052992,3.176353056026572
815,816,MD/HD-300 - MD-50,3,42,166,,214.0070246671143,,359.75676105459723,,,,255.39280259764948,2.98285244205351
824,825,MD/HD-300 - MD/HD-500,3,5,175,,204.76082918133608,,366.2428904123233,,,,251.3822649178169,3.007394394036974
