OID_,OBJECTID,station_na,fuel_type_,status_cod,street_add,city,st_prv_cod,zip,station_ph,access_day,groups_wit,cards_acce,longitude,latitude
1,14,Scripps Green Hospital,ELEC,AVBL,10666 N Torrey Pines Rd,La Jolla,CA,92037,858-554-9100,24 hours daily,Public, ,-117.242999999999995,32.899470000000001
2,31,Sacramento International Airport - Daily A Lot,ELEC,AVBL,Lindbergh Dr,Sacramento,CA,95837,916-874-0670,24 hours daily; pay lot,Public, ,-121.588890000000006,38.690049999999999
3,57,Sylmar Metrolink Station,ELEC,AVBL,Village Way Dr,San Fernando,CA,91342,866-816-7584  818-237-7641,24 hours daily,Public, ,-118.449791399999995,34.292413400000001
4,83,Sutter Galleria Mall - University of California - Davis Extension,ELEC,AVBL,2901 K St,Sacramento,CA,95816,916-327-7072,24 hours daily; pay lot; visitor and student use only,Public, ,-121.467901999999995,38.572769999999998
5,87,City of Sacramento - Belle Cooledge Library,ELEC,AVBL,5600 S Land Park Dr,Sacramento,CA,95822,916-264-2700,24 hours daily,Public, ,-121.511200000000002,38.524403000000000
6,467,Nissan of Irvine,ELEC,AVBL,32 Auto Center Dr,Irvine,CA,92618,949-385-6044,Dealership business hours,Public - Call ahead, ,-117.723298000000000,33.632505000000002
7,472,Nissan of Mission Hills,ELEC,AVBL,11000 Sepulveda Blvd,Mission Hills,CA,91345,818-838-4444,Dealership business hours,Public - Call ahead, ,-118.466605999999999,34.269809000000002
8,478,Mossy Nissan - Oceanside,ELEC,AVBL,3535 College Blvd,Oceanside,CA,92056,760-720-9797,Dealership business hours,Public - Call ahead, ,-117.298333999999997,33.181953000000000
9,484,Crown Nissan,ELEC,AVBL,300 E Cypress Ave,Redding,CA,96002,530-223-2177,Dealership business hours,Public - Call ahead, ,-122.366540000000001,40.571632000000001
10,497,Nissan - San Juan Capistrano,ELEC,AVBL,33633 Camino Capistrano,San Juan Capistrano,CA,92675,888-718-2419,Dealership business hours,Public - Call ahead, ,-117.676141999999999,33.474429999999998
11,510,Champion Nissan,ELEC,AVBL,24111 Creekside Rd,Valencia,CA,91355,661-255-2020,Dealership business hours,Public - Call ahead, ,-118.557773999999995,34.420546000000002
12,1062,EVSP WALGREENS,ELEC,AVBL,26531 Aliso Creek Rd,Aliso Viejo,CA,92656,888-758-4389,24 hours daily,Public, ,-117.723844499999998,33.577102799999999
13,2366,University of California - Davis Medical Center,ELEC,AVBL,4241 X St,Sacramento,CA,95817,800-282-3284,24 hours daily,Public, ,-121.456100000000006,38.553545000000000
14,2768,California Air Resources Board,ELEC,AVBL,1900 14th St,Sacramento,CA,95811,916-322-3289,24 hours daily,Public, ,-121.492654000000002,38.568680999999998
