OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1,MD/HD-0 - MD/HD-0,1,1,1,,0.000000000000000,,0.000000000000000,,,,0.000000000000000,0.000000000000000
2,MD/HD-0 - MD/HD-00,1,17,2,,25.115203737557540,,32.124279059603190,,,,26.659105176713833,0.228470179283420
3,MD/HD-0 - MD-50,1,8,3,,59.199255795473206,,84.477781499480486,,,,62.844760016915785,0.725206575679273
4,MD/HD-0 - MD-50,1,18,4,,54.600433817790297,,91.009761024161364,,,,63.859199268300749,0.589699570583105
5,MD/HD-0 - MD-50,1,27,5,,122.108354384820046,,169.642609804939156,,,,133.087096374964688,1.389125845151751
6,MD/HD-0 - MD/HD-100,1,19,6,,98.059682303286365,,171.047754846774438,,,,124.637350339661751,1.256616670016521
7,MD/HD-0 - MD/HD-100,1,9,7,,118.262895427713929,,172.607862559148884,,,,128.706304710009732,1.468334540270432
8,MD/HD-0 - MD-50,1,23,8,,129.816058292761539,,189.497172234526971,,,,142.472139082540451,1.514802290371684
9,MD/HD-0 - MD-50,1,28,9,,139.939628936292365,,194.869937281356670,,,,152.363041824637037,1.596030086886352
10,MD/HD-0 - IMD/HD-00,1,30,10,,145.059723037518211,,197.421987747619823,,,,156.690486563237357,1.673887553220846
11,MD/HD-0 - MD/HD-00,1,26,11,,153.906213993011590,,208.815568590646137,,,,165.389944599880181,1.791317917864188
12,MD/HD-0 - MD/HD-00,1,21,12,,151.074739042607632,,213.232711795126818,,,,162.644436535230881,1.777346363727673
13,MD/HD-0 - MD/HD-00,1,29,13,,158.245808862679041,,220.576784143212592,,,,170.297242100333534,1.799402277136460
14,MD/HD-0 - MD/HD-100,1,22,14,,155.415569999027781,,235.284009543422769,,,,174.367682842365326,1.426017250656942
15,MD/HD-0 - MD-150,1,20,15,,225.936848893832575,,239.386423004735320,,,,230.077488920153570,2.088178309546954
16,MD/HD-0 - MD-150,1,10,16,,206.909841896852811,,267.896886559553650,,,,219.392844316035109,2.270427935850682
17,MD/HD-0 - MD-150,1,24,17,,198.757918192215442,,324.127846641238762,,,,229.938902269797978,1.711006022771170
18,MD/HD-0 - MD/HD-200,1,2,18,,251.633692554172057,,346.542542373393758,,,,276.346142635400156,3.058019437885195
19,MD/HD-0 - MD/HD-200,1,25,19,,223.521376761432123,,377.982472864644251,,,,268.244029100784019,2.378672420972302
20,MD/HD-0 - MD-50,1,31,20,,297.353392564409432,,429.073807130571140,,,,332.577871554567764,3.770045068803076
21,MD/HD-0 - MD-250,1,11,21,,302.404091796058424,,430.374498109171100,,,,337.622738619258996,3.824494113306774
22,MD/HD-0 - MD/HD-100,1,32,22,,343.828279260183194,,510.450598765690870,,,,389.777330678527392,4.438543156055943
23,MD/HD-0 - MD/HD-300,1,3,23,,341.096221850469931,,513.352602643192199,,,,390.072509963692085,4.631124572071806
24,MD/HD-0 - MD-150,1,33,24,,381.423191464880688,,581.245706545549297,,,,436.333842264283987,5.143653321352907
