,station,district,route,station_length,samples,percent_observed,total_flow,avg_occupancy,avg_speed,delay_35,delay_40,delay_45,delay_50,delay_55,delay_60,hour,Latitude,Longitude,direction_of_travel,lane_type,total_flow_normalization,dst_score
0,308511,3.0,50.0,4.266928571428571,228.9642857142857,78.57142857142857,98.21428571428572,0.0047428571428571,67.03571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.761062,-120.569835,E,ML,0.012725295573910831,0.1272529557391083
1,308512,3.0,50.0,3.995,217.25,0.0,511.8571428571428,0.0247499999999999,64.03928571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.761182,-120.569866,W,ML,0.06631961315101453,0.6631961315101453
2,311903,3.0,50.0,0.883,343.5,31.821428571428573,835.4285714285714,0.0118785714285714,65.13928571428572,0.0,0.0035714285714285,0.0035714285714285,0.0071428571428571,0.0107142857142857,0.0142857142857142,0.0,38.566906,-121.505888,E,ML,0.10824367784178987,1.0824367784178988
3,311974,3.0,50.0,0.466,229.03571428571428,38.57142857142857,2732.964285714286,0.0300071428571428,65.60357142857143,0.0,0.0,0.0035714285714285,0.0107142857142857,0.0428571428571428,0.125,0.0,38.564153,-121.495585,E,ML,0.3541010157099558,3.541010157099558
4,312010,3.0,50.0,1.218,229.0,38.57142857142857,2563.5,0.0326464285714285,68.08928571428571,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,38.56381600000001,-121.49331599999998,W,ML,0.33214409661969874,3.3214409661969873
5,312098,3.0,50.0,0.483,228.82142857142856,48.21428571428572,599.4285714285714,0.0103749999999999,67.68928571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.55902,-121.476106,E,ML,0.07766594942273432,0.7766594942273432
6,312103,3.0,50.0,0.954,343.60714285714283,0.0,2250.75,0.0400285714285714,67.84642857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.560995,-121.462999,W,ML,0.291622128132158,2.91622128132158
7,312132,3.0,5.0,1.347,0.0,0.0,347.75,0.0252,65.62142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.409782,-121.48412,S,ML,0.04505680109206173,0.45056801092061727
8,312133,3.0,5.0,0.8229999999999998,341.92857142857144,96.42857142857144,360.4642857142857,0.0112107142857142,66.60714285714286,0.0,0.0,0.0,0.0,0.0035714285714285,0.0071428571428571,0.0,38.428229,-121.487572,N,ML,0.04670414844635709,0.4670414844635709
9,312134,3.0,5.0,1.342,226.78571428571428,96.42857142857144,307.42857142857144,0.0165178571428571,66.83214285714286,0.0,0.0071428571428571,0.0178571428571428,0.0321428571428571,0.0428571428571428,0.0535714285714285,0.0,38.412421,-121.484289,N,ML,0.039832488836445246,0.39832488836445246
10,312139,3.0,50.0,0.454,0.0,0.0,3371.1071428571427,0.04205,66.68571428571428,0.0,0.0,0.0,0.0,0.0,0.0178571428571428,0.0,38.562537,-121.48957699999998,E,ML,0.4367830452789153,4.367830452789153
11,312188,3.0,50.0,0.692,0.0,0.0,720.5357142857143,0.0131428571428571,66.07142857142857,0.0249999999999999,0.0357142857142857,0.0499999999999999,0.075,0.1107142857142857,0.1571428571428571,0.0,38.551104,-121.429758,W,ML,0.09335739571041855,0.9335739571041856
12,312205,3.0,50.0,0.468,0.0,0.0,1185.571428571429,0.0196714285714285,68.17142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.552893,-121.413693,W,ML,0.1536105134078342,1.5361051340783418
13,312220,3.0,50.0,0.6900000000000001,0.0,0.0,904.5714285714286,0.0159,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.560891000000005,-121.45953900000002,W,ML,0.11720228592582309,1.172022859258231
14,312233,3.0,99.0,0.643,343.1428571428572,96.42857142857144,522.75,0.0086392857142857,69.22142857142858,0.0,0.0,0.0,0.0035714285714285,0.0035714285714285,0.0035714285714285,0.0,38.468819,-121.416935,N,ML,0.06773096411466648,0.6773096411466648
15,312236,3.0,50.0,0.281,220.7142857142857,0.0,1185.571428571429,0.0196714285714285,68.17142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.553882,-121.437973,W,ML,0.1536105134078342,1.5361051340783418
16,312264,3.0,50.0,0.394,0.0357142857142857,0.0,808.7142857142857,0.0130571428571428,68.76071428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.558665,-121.381217,W,ML,0.10478239744568611,1.0478239744568612
17,312326,3.0,80.0,0.404,456.4285714285714,85.71428571428571,558.9285714285714,0.0102357142857142,68.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.632748,-121.502715,W,ML,0.07241850026607435,0.7241850026607435
18,312343,3.0,80.0,0.429,330.25,89.57142857142857,664.9285714285714,0.0134821428571428,68.46071428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.633055,-121.501501,E,ML,0.08615256472548066,0.8615256472548066
19,312346,3.0,80.0,0.44,343.3928571428572,92.85714285714286,470.07142857142856,0.0126142857142857,66.80357142857143,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,0.0,38.63434,-121.499686,W,ML,0.060905578306841575,0.6090557830684158
20,312382,3.0,99.0,0.367,342.07142857142856,92.89285714285714,481.8571428571428,0.0129142857142857,68.77857142857142,0.0,0.0,0.0,0.0,0.0035714285714285,0.0035714285714285,0.0,38.473227,-121.421498,N,ML,0.06243261377571087,0.6243261377571087
21,312386,3.0,99.0,0.3729999999999999,343.32142857142856,96.42857142857144,598.1428571428571,0.0066464285714285,68.31071428571428,0.0,0.0,0.0,0.0,0.0035714285714285,0.0035714285714285,0.0,38.477038,-121.425542,N,ML,0.0774993637352213,0.774993637352213
22,312388,3.0,99.0,0.341,343.42857142857144,96.42857142857144,672.7857142857143,0.0150785714285714,67.82142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.48152799999999,-121.430345,N,ML,0.08717058837139353,0.8717058837139353
23,312420,3.0,99.0,0.322,330.75,92.85714285714286,967.3571428571428,0.0216285714285714,67.33571428571429,0.0,0.0,0.0,0.0071428571428571,0.0071428571428571,0.0142857142857142,0.0,38.484562,-121.433775,S,ML,0.1253372203327086,1.253372203327086
24,312421,3.0,99.0,0.46,340.5,96.42857142857144,800.0714285714286,0.0303857142857142,65.98571428571428,0.0,0.0035714285714285,0.0107142857142857,0.0214285714285714,0.0607142857142857,0.1178571428571428,0.0,38.488691,-121.437961,N,ML,0.10366257143518197,1.0366257143518196
25,312422,3.0,99.0,0.37,317.07142857142856,85.71428571428571,692.75,0.0160857142857142,66.85714285714286,0.0,0.0,0.0,0.0,0.0107142857142857,0.0535714285714285,0.0,38.494881,-121.444522,N,ML,0.08975729390805395,0.8975729390805396
26,312425,3.0,99.0,0.3489999999999999,330.5,89.28571428571429,662.6785714285714,0.014575,67.91071428571429,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,0.0,38.496957,-121.446721,N,ML,0.08586103977233289,0.8586103977233289
27,312439,3.0,80.0,0.664,457.25,92.85714285714286,753.8571428571429,0.0146249999999999,69.90714285714286,0.0,0.0,0.0035714285714285,0.0071428571428571,0.0071428571428571,0.0142857142857142,0.0,38.634771,-121.498277,E,ML,0.09767474144513084,0.9767474144513084
28,312513,3.0,99.0,0.535,466.82142857142856,92.25,494.2857142857143,0.0126785714285714,68.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.502687,-121.45278999999998,N,ML,0.06404294208833669,0.640429420883367
29,312514,3.0,99.0,0.377,341.57142857142856,96.42857142857144,739.4285714285714,0.0183428571428571,67.22142857142858,0.0,0.0,0.0035714285714285,0.0107142857142857,0.0142857142857142,0.0285714285714285,0.0,38.509079,-121.459013,N,ML,0.09580527984081812,0.9580527984081811
30,312517,3.0,99.0,0.359,343.0357142857143,96.42857142857144,1041.2857142857142,0.0218107142857142,67.82857142857144,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,0.0,38.51012099999999,-121.459962,S,ML,0.13491589736470697,1.3491589736470697
31,312520,3.0,99.0,0.394,341.60714285714283,96.42857142857144,784.6071428571429,0.0201,67.70357142857144,0.0,0.0,0.0,0.0035714285714285,0.0035714285714285,0.0071428571428571,0.0,38.511704,-121.46048,N,ML,0.1016589158048171,1.016589158048171
32,312523,3.0,99.0,0.434,339.6428571428572,95.82142857142856,785.7142857142857,0.0187785714285714,67.68571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.519594,-121.464642,N,ML,0.10180236459128664,1.0180236459128664
33,312525,3.0,99.0,0.248,343.42857142857144,64.60714285714286,825.75,0.0248428571428571,64.35714285714286,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,0.0,38.52335,-121.46665,N,ML,0.10698965780523356,1.0698965780523357
34,312527,3.0,99.0,0.594,343.35714285714283,64.60714285714286,1078.7142857142858,0.0276964285714285,65.70714285714286,0.0,0.0,0.0,0.0,0.0,0.0214285714285714,0.0,38.526244,-121.468176,N,ML,0.13976539182341918,1.3976539182341918
35,312562,3.0,99.0,0.206,441.2857142857143,96.42857142857144,923.3571428571428,0.0420249999999999,66.26785714285714,0.0892857142857142,0.1178571428571428,0.1392857142857143,0.175,0.225,0.2678571428571428,0.0,38.542279,-121.473702,N,ML,0.11963628791559656,1.1963628791559657
36,312564,3.0,99.0,0.329,610.9642857142857,95.82142857142856,912.1428571428572,0.0148857142857142,67.95714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.54542299999999,-121.473985,S,ML,0.1181832905300664,1.181832905300664
37,312566,3.0,99.0,0.574,341.35714285714283,85.82142857142857,527.0714285714286,0.014225,67.65714285714286,0.0821428571428571,0.0928571428571428,0.0964285714285714,0.1035714285714285,0.1071428571428571,0.1142857142857143,0.0,38.555907,-121.474179,N,ML,0.06829087711991855,0.6829087711991855
38,312570,3.0,99.0,0.552,313.2142857142857,95.82142857142856,515.3571428571429,0.0183,67.28214285714286,0.0,0.0,0.0,0.0,0.0,0.0071428571428571,0.0,38.446758,-121.405805,S,ML,0.06677309641146664,0.6677309641146665
39,312648,3.0,99.0,0.644,229.0,96.42857142857144,440.9642857142857,0.0183142857142857,67.17142857142856,0.0,0.0,0.0,0.0,0.0,0.0107142857142857,0.0,38.455428,-121.409707,N,ML,0.05713426343675528,0.5713426343675528
40,312651,3.0,99.0,0.503,343.2857142857143,96.42857142857144,500.4285714285714,0.0137035714285714,69.00714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.456958,-121.410442,N,ML,0.0648388514842322,0.648388514842322
41,312689,3.0,51.0,0.561,0.0,0.0,697.5357142857143,0.0211964285714285,64.16071428571429,0.0,0.0,0.0,0.0,0.0,0.0071428571428571,0.0,38.56768,-121.46946,N,ML,0.09037736285601906,0.9037736285601906
42,312694,3.0,51.0,0.426,440.6071428571428,46.42857142857143,791.5357142857143,0.0136035714285714,66.5,0.0,0.0,0.0,0.0107142857142857,0.0178571428571428,0.0249999999999999,0.0,38.575691,-121.465994,N,ML,0.1025566275653039,1.025566275653039
43,312745,3.0,51.0,0.427,341.0,96.42857142857144,1004.75,0.0308821428571428,65.35357142857143,0.0,0.0035714285714285,0.0142857142857142,0.0285714285714285,0.0464285714285714,0.0964285714285714,0.0,38.579355,-121.46446,N,ML,0.13018208741121212,1.301820874112121
44,312757,3.0,51.0,0.441,568.6428571428571,77.14285714285714,2277.6428571428573,0.0802571428571428,64.575,0.0214285714285714,0.075,0.1785714285714285,0.3678571428571429,0.6321428571428571,0.9392857142857144,0.0,38.596555,-121.443773,S,ML,0.2951065454293052,2.951065454293052
45,312771,3.0,51.0,0.218,342.85714285714283,95.25,794.8214285714286,0.0208464285714285,66.525,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,0.0,38.597705,-121.443157,S,ML,0.10298234654450382,1.0298234654450382
46,312782,3.0,51.0,0.427,456.5,96.42857142857144,837.9285714285714,0.0115249999999999,69.48928571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.605082,-121.43308,N,ML,0.1085675944563985,1.085675944563985
47,312804,3.0,51.0,0.352,434.2142857142857,87.5,1280.107142857143,0.0188,66.68214285714286,0.0142857142857142,0.0178571428571428,0.0285714285714285,0.0357142857142857,0.0571428571428571,0.1071428571428571,0.0,38.609733,-121.428176,N,ML,0.16585918882024941,1.6585918882024941
48,312807,3.0,51.0,0.417,456.6071428571428,96.42857142857144,784.1785714285714,0.0098321428571428,69.13214285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.612976,-121.424576,N,ML,0.10160338724231276,1.0160338724231275
49,312854,3.0,51.0,0.691,334.4642857142857,72.46428571428571,780.75,0.0232035714285714,65.48928571428571,0.0321428571428571,0.0428571428571428,0.0607142857142857,0.0749999999999999,0.0964285714285714,0.1321428571428571,0.0,38.573898,-121.467078,S,ML,0.10115915874227806,1.0115915874227805
50,312856,3.0,51.0,0.219,332.32142857142856,92.85714285714286,901.8928571428572,0.018775,67.25,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,0.0,38.584861,-121.456996,S,ML,0.11685523241017098,1.16855232410171
51,312857,3.0,51.0,0.617,333.42857142857144,92.85714285714286,913.0714285714286,0.0178928571428571,67.09285714285714,0.0,0.0,0.0,0.0107142857142857,0.0107142857142857,0.0214285714285714,0.0,38.58611,-121.449127,S,ML,0.11830360241549247,1.1830360241549247
52,312858,3.0,51.0,0.3969999999999999,220.5,92.85714285714286,696.8214285714286,0.0279642857142857,66.68571428571428,0.0,0.0,0.0,0.0,0.0142857142857142,0.0285714285714285,0.0,38.600789,-121.438319,N,ML,0.09028481525184516,0.9028481525184516
53,312865,3.0,51.0,0.441,457.6071428571428,72.32142857142857,1301.571428571429,0.0201142857142857,66.74285714285715,0.0,0.0,0.0,0.0,0.0,0.0571428571428571,0.0,38.593388,-121.444782,N,ML,0.16864024432567506,1.6864024432567506
54,312895,3.0,51.0,0.5,457.8928571428572,96.42857142857144,810.6785714285714,0.0131142857142857,68.76428571428572,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,0.0,38.61932,-121.419484,N,ML,0.10503690335716434,1.0503690335716434
55,312896,3.0,51.0,0.3729999999999999,339.8928571428572,96.42857142857144,655.4285714285714,0.0121821428571428,67.79642857142856,0.0,0.0,0.0,0.0,0.0035714285714285,0.0071428571428571,0.0,38.624622,-121.41574,N,ML,0.08492168158996784,0.8492168158996783
56,312898,3.0,51.0,0.479,0.0,0.0,906.2857142857144,0.0265,63.6,0.0,0.0,0.0,0.0,0.0,0.0535714285714285,0.0,38.626546,-121.411041,N,ML,0.11742440017584047,1.1742440017584046
57,312940,3.0,51.0,0.834,323.07142857142856,89.28571428571429,836.0357142857143,0.0174464285714285,65.80357142857143,0.0,0.0,0.0,0.0,0.0,0.0214285714285714,0.0,38.631139,-121.399941,N,ML,0.10832234330533769,1.083223433053377
58,312942,3.0,51.0,0.548,336.0357142857143,96.42857142857144,701.4285714285714,0.0163892857142857,66.80357142857143,0.0,0.0,0.0,0.0035714285714285,0.0035714285714285,0.0107142857142857,0.0,38.63572800000001,-121.388222,S,ML,0.0908817472987668,0.908817472987668
59,312944,3.0,51.0,0.548,336.6428571428572,92.89285714285714,699.7857142857143,0.0150892857142857,67.375,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,0.0,38.638497,-121.38447800000002,N,ML,0.09066888780916685,0.9066888780916684
60,312946,3.0,51.0,0.326,343.35714285714283,96.42857142857144,637.0,0.0138821428571428,67.2,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,0.0,38.639721,-121.383432,S,ML,0.0825339534022813,0.825339534022813
61,313000,3.0,50.0,0.089,0.0,0.0,1086.107142857143,0.0249107142857142,65.24285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.558938,-121.37871,W,ML,0.14072325952661902,1.4072325952661902
62,313003,3.0,50.0,0.374,451.9285714285714,94.03571428571428,530.5,0.00975,67.11428571428571,0.0214285714285714,0.0249999999999999,0.0357142857142857,0.0428571428571428,0.0535714285714285,0.0678571428571428,0.0,38.565998,-121.336473,W,ML,0.06873510561995326,0.6873510561995326
63,313005,3.0,50.0,0.265,453.4642857142857,71.89285714285714,634.3571428571429,0.0118535714285714,68.96428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.566723,-121.334983,W,ML,0.08219152726683789,0.8219152726683788
64,313010,3.0,50.0,0.336,372.6428571428572,80.39285714285714,451.6785714285714,0.0065785714285714,67.90357142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.579132,-121.307113,W,ML,0.05852247749936373,0.5852247749936372
65,313035,3.0,50.0,0.459,465.8571428571428,78.57142857142857,493.6785714285714,0.0054285714285714,72.01071428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.590372,-121.288588,W,ML,0.06396427662478887,0.6396427662478887
66,313037,3.0,50.0,0.814,456.8928571428572,96.42857142857144,408.07142857142856,0.00515,69.34642857142858,0.0,0.0,0.0035714285714285,0.0035714285714285,0.0035714285714285,0.0035714285714285,0.0,38.591859,-121.286115,W,ML,0.052872446264547325,0.5287244626454732
67,313055,3.0,50.0,0.187,456.4642857142857,96.42857142857144,315.8928571428572,0.0043785714285714,70.32142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.630971,-121.216679,E,ML,0.040929177945905934,0.40929177945905937
68,313080,3.0,50.0,0.352,342.07142857142856,96.42857142857144,264.07142857142856,0.0044392857142857,69.92142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.630603,-121.217801,W,ML,0.0342148492630897,0.342148492630897
69,313082,3.0,50.0,0.163,0.0,0.0,660.7142857142857,0.0254285714285714,66.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.631488,-121.216123,W,ML,0.08560653386085466,0.8560653386085466
70,313111,3.0,80.0,0.647,338.25,92.85714285714286,681.1071428571429,0.0165357142857142,68.07142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.640373,-121.479317,E,ML,0.08824876796001943,0.8824876796001944
71,313114,3.0,80.0,0.396,0.0,0.0,1175.357142857143,0.0307999999999999,63.035714285714285,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,38.640759,-121.476084,E,ML,0.15228708266814742,1.522870826681474
72,313132,3.0,80.0,0.6,343.17857142857144,96.42857142857144,641.5714285714286,0.0146928571428571,68.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.641164,-121.45372,E,ML,0.08312625806899424,0.8312625806899423
73,313144,3.0,99.0,0.523,341.5,96.14285714285714,1156.357142857143,0.0255749999999999,67.38928571428572,0.0,0.0,0.0,0.0,0.0035714285714285,0.0321428571428571,0.0,38.523271,-121.466872,S,ML,0.14982531639712177,1.4982531639712175
