scenario_number,iteration,charging_rate,km_per_kwh,battery_capacity,success,station_utilization_disp_of_avg,station_utilization_avg_of_disp,electricity,percent_delay,hours_spent_in_queues,hours_spent_charging,most_utilized_node,least_utilized_node,strongly_connected_components,weakly_connected_components
0,0,90,0.95,430,True,39.33841145833333,43.05455729166667,0,"(1.0, 1.0, 2.6847547623266417, 1.0520741823128044, 0.200978947575907)","(0.0, 0.0, 10.2, 0.2670044331855605, 1.147689328331051)","(0, 0.0, 18, 0.5021110407430863, 1.7150397624742577)",,,147,44
0,1,90,0.95,430,True,28.151171875000003,30.073828125,0,"(1.0, 1.4144666935267889, 2.8428959403815246, 1.421593338943374, 0.23594508043340104)","(0.0, 0.0, 8.6, 0.2763451337014182, 0.9504471185733995)","(0, 0.0, 10, 0.43542275630616, 1.191827829512946)",,,147,44
0,2,90,0.95,430,True,28.36510416666667,31.207942708333334,0,"(1.0, 1.4144666935267889, 2.907495339976774, 1.4361234962028535, 0.2573329961441832)","(0.0, 0.0, 9.4, 0.3181159420289855, 1.1048228837581884)","(0, 0.0, 8, 0.3556214317083882, 1.0240381683592346)",,,147,44
0,3,90,0.95,430,True,28.064322916666665,30.080729166666668,0,"(1.0, 1.4242191861435973, 2.8428959403815246, 1.4440930508495635, 0.2626466081657204)","(0.0, 0.0, 8.2, 0.34144921285313773, 1.1131193128088823)","(0, 0.0, 9, 0.4560060383868881, 1.1796085028234349)",,,147,44
0,4,90,0.95,430,True,28.586328125,30.20546875,0,"(1.0, 1.4242191861435973, 3.0644202993722933, 1.437401140573659, 0.24875277709902172)","(0.0, 0.0, 9.2, 0.31248258866388084, 1.0141163600335175)","(0, 0.0, 10, 0.43019393549769636, 1.1665987650248295)",,,148,44
0,5,90,0.95,430,True,23.891796875,26.59140625,0,"(1.0, 1.4144666935267889, 2.8126857093253568, 1.435827611191068, 0.24868983375080636)","(0.0, 0.0, 9.0, 0.3271392081736909, 1.0392263626026643)","(0, 0.0, 9, 0.44880800340570454, 1.1891366810217219)",,,148,44
0,6,90,0.95,430,True,25.141406250000003,26.915885416666665,0,"(1.0, 1.4144666935267889, 2.806712508890624, 1.430056576981551, 0.2297655041373499)","(0.0, 0.0, 9.4, 0.25254292901673414, 0.8949967494626812)","(0, 0.0, 9, 0.409493601662474, 1.127294333342533)",,,150,44
0,7,90,0.95,430,True,21.426953124999997,23.814322916666665,0,"(1.0, 1.3398788883582944, 2.781082499108218, 1.375587308624701, 0.2293848213231663)","(0.0, 0.0, 8.8, 0.20164052086537476, 0.9395844850675934)","(0, 0.0, 9, 0.30021531836358045, 1.063307740763155)",,,149,44
0,8,90,0.95,430,True,20.35,22.625911458333334,0,"(1.0, 1.3400081471804794, 2.6250935438382355, 1.3803072083058183, 0.2171007058126052)","(0.0, 0.0, 7.4, 0.19363209901187745, 0.7641922481853249)","(0, 0.0, 8, 0.35023455434674117, 1.0984126388847368)",,,149,44
1,0,45,1.9,430,True,68.51549479166667,69.88619791666666,0,"(1.0, 1.0, 5.487123099741697, 1.2159853043168456, 0.7105243206636901)","(0.0, 0.0, 15.2, 0.6392367322599881, 2.2038209112438323)","(0, 0.0, 21, 0.7465712581991651, 2.355709994767652)",,,195,44
1,1,45,1.9,430,True,58.358463541666666,60.48684895833333,0,"(1.0, 1.2754746876427756, 5.653914801313348, 1.4183769905007835, 0.6152937986262812)","(0.0, 0.0, 12.2, 0.4237801111797405, 1.6163969237994809)","(0, 0.0, 20, 0.6809759110562076, 2.2850757922212357)",,,195,44
1,2,45,1.9,430,True,59.27981770833333,61.934895833333336,0,"(1.0, 1.2940535242590467, 5.678534336375629, 1.4224033577610455, 0.6533789148320405)","(0.0, 0.0, 12.6, 0.49719462302746925, 1.806801963092338)","(0, 0.0, 21, 0.7253068381063705, 2.4491191911252117)",,,193,44
1,3,45,1.9,430,True,54.71718750000001,59.01393229166667,0,"(1.0, 1.2754746876427756, 5.3595155534331775, 1.4069375559081816, 0.6309839943159551)","(0.0, 0.0, 13.2, 0.4391975308641976, 1.762834935654576)","(0, 0.0, 22, 0.6135802469135803, 2.150667601571503)",,,189,44
1,4,45,1.9,430,True,52.44791666666667,55.324869791666664,0,"(1.0, 1.2940535242590467, 6.238802539380245, 1.4643197338428628, 0.7133612527909347)","(0.0, 0.0, 14.0, 0.6038789303555686, 1.9821380453222406)","(0, 0.0, 19, 0.652071701439906, 2.024682609512869)",,,191,44
1,5,45,1.9,430,True,47.64140625,51.927734375,0,"(1.0, 1.2356299794963432, 6.078252530936913, 1.43432408105176, 0.6912232593855266)","(0.0, 0.0, 13.6, 0.5340412621359223, 1.89580052723754)","(0, 0.0, 21, 0.7606189320388349, 2.466162284408639)",,,193,44
1,6,45,1.9,430,True,48.782421875,51.84518229166667,0,"(1.0, 1.2940535242590467, 5.781026343545674, 1.4279507679002166, 0.6681498198776368)","(0.0, 0.0, 12.8, 0.47612250966399045, 1.8244150372726564)","(0, 0.0, 20, 0.6889681831697889, 2.2148003710928266)",,,197,44
1,7,45,1.9,430,True,57.688671875,62.28463541666667,0,"(1.0, 1.2940535242590467, 5.652559091466882, 1.5445704129101048, 0.7989656308811578)","(0.0, 0.0, 12.4, 0.8060247747747747, 2.2494588356847665)","(0, 0.0, 21, 1.009009009009009, 2.7504970738162933)",,,195,44
1,8,45,1.9,430,True,53.83216145833333,59.06953125,0,"(1.0, 1.2940535242590467, 5.909493595624467, 1.501572742726199, 0.7141408798379137)","(0.0, 0.0, 13.2, 0.6326029798422438, 1.9796187266951117)","(0, 0.0, 18, 0.9515045281916448, 2.605862609413829)",,,193,44
2,0,45,0.95,215,True,69.00989583333333,70.383203125,0,"(1.0, 1.0, 5.783889879663246, 1.2264223794112077, 0.7328877491981002)","(0.0, 0.0, 15.4, 0.6767723342939481, 2.305379490796106)","(0, 0.0, 28, 0.7717579250720461, 2.5143525917836085)",,,195,44
2,1,45,0.95,215,True,54.86536458333333,58.917578125,0,"(1.0, 1.2940535242590467, 5.933749362729589, 1.3913858723117662, 0.5906463566348721)","(0.0, 0.0, 14.0, 0.4163352707249924, 1.712306569832771)","(0, 0.0, 19, 0.6482104619149587, 2.2642392658020256)",,,195,44
2,2,45,0.95,215,True,56.4171875,60.61145833333333,0,"(1.0, 1.2940535242590467, 5.496292182230187, 1.4423254878711476, 0.6392109568202147)","(0.0, 0.0, 12.2, 0.5042785482443198, 1.7065361272385973)","(0, 0.0, 26, 0.7506639126586013, 2.287683097119533)",,,195,44
2,3,45,0.95,215,True,48.85494791666667,53.95677083333333,0,"(1.0, 1.2706754583368658, 5.913864907120857, 1.3907577711695776, 0.5799771959648988)","(0.0, 0.0, 14.0, 0.39758308157099703, 1.5809802940667421)","(0, 0.0, 29, 0.6945619335347432, 2.4679334478388633)",,,191,44
2,4,45,0.95,215,True,50.69752604166666,55.799609375,0,"(1.0, 1.2754746876427756, 5.827604232949596, 1.4351652598005895, 0.6733157885224909)","(0.0, 0.0, 14.4, 0.5304848484848486, 1.8670291767243832)","(0, 0.0, 19, 0.6957575757575758, 2.2343421922658977)",,,193,44
2,5,45,0.95,215,True,52.29453125,56.905859375,0,"(1.0, 1.2940535242590467, 5.4589522219577145, 1.4382499755526763, 0.6455750159809133)","(0.0, 0.0, 14.0, 0.4987028657616893, 1.7602434034283594)","(0, 0.0, 20, 0.7070889894419307, 2.3568892892527438)",,,193,44
2,6,45,0.95,215,True,46.80130208333333,53.83177083333333,0,"(1.0, 1.2754746876427756, 5.933749362729589, 1.4175598177369046, 0.6487347640632134)","(0.0, 0.0, 13.4, 0.4810262529832935, 1.7545026688673264)","(0, 0.0, 26, 0.7825178997613366, 2.5925848656271833)",,,197,44
2,7,45,0.95,215,True,44.074609375,50.042317708333336,0,"(1.0, 1.2706754583368658, 6.024863177723856, 1.4227312673674983, 0.6686449280364485)","(0.0, 0.0, 13.4, 0.46974595842956113, 1.7929768504560215)","(0, 0.0, 20, 0.7170900692840647, 2.3892772074151774)",,,199,44
2,8,45,0.95,215,True,47.085546875,52.795833333333334,0,"(1.0, 1.2940535242590467, 5.5121088647260805, 1.4939396665358464, 0.7275888042185168)","(0.0, 0.0, 12.0, 0.6539906103286384, 2.0353958307182562)","(0, 0.0, 18, 0.9533450704225352, 2.602228069016996)",,,197,44
3,0,90,1.9,215,True,119.359375,119.462109375,0,"(1.0, 1.0, 9.796716442408588, 1.7088798672560237, 1.692535387810379)","(0.0, 0.0, 16.8, 1.42, 3.5042348007035056)","(0, 0.0, 21, 1.2523076923076923, 3.5808511103585716)",,,294,44
3,1,90,1.9,215,True,106.47864583333335,106.732421875,0,"(1.0, 1.178656224377259, 8.584751504162643, 2.0755424263453532, 1.7758838842624594)","(0.0, 0.0, 15.2, 1.8627118644067795, 3.6560195355521086)","(0, 0.0, 20, 1.4406779661016949, 2.78520677510152)",,,290,44
3,2,90,1.9,215,True,104.36002604166667,105.107421875,0,"(1.0, 1.3259882524244162, 8.965942275223396, 2.6542732243910248, 2.1427479893202483)","(0.0, 0.0, 16.4, 3.044430844553243, 4.435845857379596)","(0, 0.0, 20, 1.3990208078335373, 2.0212818795337624)",,,282,45
3,3,90,1.9,215,True,98.51223958333333,99.24361979166666,0,"(1.0, 1.743608429504808, 9.392728116319129, 2.9170252305905624, 2.2262285350769706)","(0.0, 0.8, 15.8, 3.567079463364293, 4.613017189451694)","(0, 2.0, 12, 1.6609907120743035, 2.087887187828514)",,,276,45
3,4,90,1.9,215,True,95.59192708333333,96.492578125,0,"(1.0, 1.5487906921376562, 9.089736886760445, 2.7030735311878873, 2.025787143220611)","(0.0, 0.4, 14.8, 3.0855736090595762, 4.178666559211219)","(0, 2.0, 11, 1.6824224519940916, 2.0888867369654363)",,,271,45
3,5,90,1.9,215,True,90.22760416666667,91.05911458333334,0,"(1.0, 1.7310013618009097, 8.309201486227261, 2.728393887890693, 1.9736237149990485)","(0.0, 0.8, 15.6, 3.087365967365967, 3.9900194610595974)","(0, 2.0, 9, 1.7547785547785548, 1.9286834428585957)",,,273,45
3,6,90,1.9,215,True,81.57526041666667,82.61432291666667,0,"(1.0, 1.9132120314641634, 8.211446174624587, 2.797420349001607, 2.018382257603094)","(0.0, 1.0, 14.2, 3.2039503904455677, 4.074628018543571)","(0, 2.0, 11, 1.8520900321543408, 2.0479297040522195)",,,271,45
3,7,90,1.9,215,True,78.91549479166666,80.0,0,"(1.0, 2.1790918342320205, 8.685748580682203, 2.9072819801875505, 1.9068356827444086)","(0.0, 1.6, 14.6, 3.4221641791044775, 3.8116359283983514)","(0, 1.0, 15, 1.5932835820895523, 2.104249352498807)",,,263,45
3,8,90,1.9,215,True,88.95078125,89.77734375,0,"(1.0, 1.800119341322102, 9.025425890606847, 3.0022041572544897, 2.2672811423555133)","(0.0, 0.8, 15.6, 3.5655544651619238, 4.495494523685895)","(0, 2.0, 15, 1.8307163886162905, 2.295684088413347)",,,263,45
4,0,45,1.9,215,True,120.68958333333335,120.78880208333334,0,"(1.0, 1.0, 9.285705290818232, 1.4878254316663393, 1.3612774890031896)","(0.0, 0.0, 16.6, 0.9548489666136726, 2.783758742336609)","(0, 0.0, 20, 1.0381558028616853, 3.1980429878095906)",,,294,44
4,1,45,1.9,215,True,109.36822916666668,109.5953125,0,"(1.0, 1.178656224377259, 8.873509880633465, 1.7940436683470544, 1.5137894802956615)","(0.0, 0.0, 15.4, 1.1872670807453414, 2.85224538062148)","(0, 0.0, 20, 1.5341614906832297, 3.6086181452212616)",,,290,44
4,2,45,1.9,215,True,108.31223958333334,109.06393229166666,0,"(1.0, 1.178656224377259, 9.493725192838689, 2.341273137815745, 2.1354366571475922)","(0.0, 0.0, 16.2, 2.288749016522423, 4.174350240447758)","(0, 0.0, 20, 1.954366640440598, 3.6873647426308573)",,,282,45
4,3,45,1.9,215,True,102.56953125000001,103.3,0,"(1.0, 1.178656224377259, 9.335671853583124, 2.3659666354482525, 2.01380423285212)","(0.0, 0.0, 15.4, 2.3152374202693125, 3.8884683313850474)","(0, 0.0, 20, 2.179305457122608, 3.7014406871401726)",,,276,45
4,4,45,1.9,215,True,101.54088541666665,102.12434895833333,0,"(1.0, 1.2356299794963432, 9.089736886760445, 2.6016582536882455, 2.204066078246616)","(0.0, 0.0, 15.8, 2.7156424581005587, 4.25810184133238)","(0, 0.0, 20, 2.293296089385475, 3.5152119188064304)",,,271,45
4,5,45,1.9,215,True,93.49661458333333,94.25338541666666,0,"(1.0, 1.178656224377259, 9.188999290651324, 2.396009300801677, 1.960580517825913)","(0.0, 0.0, 15.6, 2.2932717678100265, 3.7748692835911952)","(0, 0.0, 20, 2.5547493403693933, 3.7319889195988774)",,,273,45
4,6,45,1.9,215,True,88.19596354166667,89.22473958333333,0,"(1.0, 1.2356299794963432, 9.243239458993191, 2.592590978660001, 2.1182529679285187)","(0.0, 0.0, 16.2, 2.6652454780361765, 4.072217127060075)","(0, 0.0, 20, 2.603359173126615, 3.672340793985544)",,,271,45
4,7,45,1.9,215,True,86.49726562500001,87.79114583333333,0,"(1.0, 1.7053762180946246, 9.515938167270264, 2.9477683673843096, 2.3542255890292876)","(0.0, 0.6, 16.2, 3.3380234505862645, 4.504462741692754)","(0, 2.0, 19, 2.1825795644891124, 3.103221114510782)",,,263,45
4,8,45,1.9,215,True,97.426171875,98.62213541666667,0,"(1.0, 1.178656224377259, 9.515938167270264, 2.506431640249842, 2.3561075813433057)","(0.0, 0.0, 15.6, 2.464034458004307, 4.394917129265661)","(0, 0.0, 19, 2.1572146446518308, 3.4872931055115233)",,,263,45
