,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,scenario_number,iteration,charging_rate,km_per_kwh,battery_capacity,success,station_utilization_disp_of_avg,station_utilization_avg_of_disp,electricity,percent_delay,hours_spent_in_queues,hours_spent_charging,most_utilized_node,least_utilized_node,strongly_connected_components,weakly_connected_components
1,0,0,45,1.9,215,True,6.553906250000001,6.635416666666667,0,"(1.0, 2.4598439829250043, 4.2518900502485035, 2.3816753800055364, 1.125694086286723)","(0.0, 0.1, 5.4, 1.5304347826086957, 1.7679353673531157)","(0, 9.0, 36, 9.695652173913043, 11.098118848073915)",8,1,296,44
2,0,1,45,1.9,215,True,5.055989583333333,5.187760416666666,0,"(1.0, 2.125945075568434, 3.9636855689403414, 1.906201112178289, 0.8607302587321378)","(0.0, 0.0, 3.4, 0.32727272727272727, 0.6981676134918647)","(0, 9.0, 35, 6.931818181818182, 7.750066648607047)",16,2,292,44
3,0,2,45,1.9,215,True,5.956510416666667,6.250520833333334,0,"(1.0, 2.00431736629579, 4.067025361957004, 2.1129732990366312, 1.1318756453079544)","(0.0, 0.0, 4.4, 0.9802197802197803, 1.5182566477377768)","(0, 9.0, 38, 6.010989010989011, 7.018804421365062)",37,3,280,45
4,0,3,45,1.9,215,True,4.846614583333333,5.03828125,0,"(1.0, 2.00431736629579, 4.159457756546936, 1.8819040410915489, 0.9421461177254686)","(0.0, 0.0, 4.4, 0.5230769230769231, 1.024435188589938)","(0, 9.0, 20, 5.495726495726496, 5.744747034404385)",37,4,270,45
5,0,4,45,1.9,215,True,5.229947916666667,5.659895833333334,0,"(1.0, 2.00431736629579, 4.203478398914967, 1.9167945908838953, 0.8978221641101145)","(0.0, 0.0, 4.4, 0.6534653465346535, 1.1327321178369294)","(0, 9.0, 11, 5.415841584158416, 4.883326505271035)",210,5,269,45
6,1,0,90,1.9,215,True,7.5234375,7.6140625,0,"(1.0, 1.081176268014861, 4.555266635046304, 1.9773419355678385, 1.1916055563500072)","(0.0, 0.0, 6.6, 0.8754716981132076, 1.735849056603774)","(0, 0.0, 41, 8.566037735849056, 13.383331556295907)",8,1,296,44
7,1,1,90,1.9,215,True,4.482291666666667,4.590104166666666,0,"(1.0, 1.8179473773520891, 3.127816512829208, 1.8601826465287428, 0.6670787646780787)","(0.0, 0.0, 3.0, 0.4842105263157895, 0.6827677095120672)","(0, 4.0, 25, 5.968421052631579, 6.812453969449815)",37,2,292,44
8,1,2,90,1.9,215,True,3.948177083333333,4.239583333333333,0,"(1.0, 1.8221066966325363, 3.6368141255439412, 1.9952746825360048, 0.8393656008045828)","(0.0, 0.0, 3.6, 0.6993464052287581, 0.956607344749956)","(0, 5.0, 25, 6.908496732026144, 7.222296157903869)",16,3,283,45
9,1,3,90,1.9,215,True,3.291666666666667,3.7565104166666665,0,"(1.0, 1.7310013618009097, 3.559368561721379, 1.9241606603259913, 0.7035566276719956)","(0.0, 0.0, 3.0, 0.4748603351955307, 0.7435265189650986)","(0, 5.0, 26, 6.648044692737431, 6.260109953004091)",210,4,270,45
